CI_LGAa_data2
Postcode,Year,Incidents Recorded
3922,2021,350
3923,2021,350
3925,2021,350
3926,2021,350
3927,2021,350
3984,2021,350
3697,2021,67
3698,2021,67
3737,2021,67
3740,2021,67
3741,2021,67
3744,2021,67
3141,2023,1416
3142,2023,1416
3143,2023,1416
3144,2023,1416
3145,2023,1416
3146,2023,1416
3182,2023,1635
3183,2023,1635
3184,2023,1635
3205,2023,1635
3206,2023,1635
3207,2023,1635
3911,2023,387
3912,2023,387
3913,2023,387
3914,2023,387
3915,2023,387
3916,2023,387
3920,2023,387
3921,2023,387
3922,2023,387
3923,2023,387
3924,2023,387
3930,2023,387
3931,2023,387
3932,2023,387
3933,2023,387
3934,2023,387
3936,2023,387
3939,2023,387
3190,2023,998
3191,2023,998
3192,2023,998
3193,2023,998
3194,2023,998
3195,2023,998
3196,2023,998
3197,2023,998
3171,2023,1917
3172,2023,1917
3173,2023,1917
3174,2023,1917
3175,2023,1917
3176,2023,1917
3177,2023,1917
3161,2023,931
3162,2023,931
3163,2023,931
3164,2023,931
3181,2023,931
3182,2023,931
3199,2023,1352
3200,2023,1352
3201,2023,1352
3202,2023,1352
3203,2023,1352
3204,2023,1352
3198,2023,1352
3805,2023,1035
3806,2023,1035
3807,2023,1035
3808,2023,1035
3810,2023,1035
3812,2023,1035
3814,2023,1035
3816,2023,1035
3825,2023,1035
3833,2023,1035
3835,2023,1035
3975,2023,1035
3976,2023,1035
3977,2023,1035
3978,2023,1035
3810,2023,425
3812,2023,425
3814,2023,425
3816,2023,425
3818,2023,425
3821,2023,425
3822,2023,425
3825,2023,425
3977,2023,425
3978,2023,425
3979,2023,425
3190,2023,489
3191,2023,489
3192,2023,489
3193,2023,489
3194,2023,489
3195,2023,489
3196,2023,489
3197,2023,489
3141,2021,1490
3142,2021,1490
3143,2021,1490
3144,2021,1490
3145,2021,1490
3146,2021,1490
3182,2021,1695
3183,2021,1695
3184,2021,1695
3205,2021,1695
3206,2021,1695
3207,2021,1695
3911,2021,423
3912,2021,423
3913,2021,423
3914,2021,423
